recommendation_id,user_id,location_id,species_id,generated_at,confidence_score
e8e3d337-90b9-4494-9ac5-2be77c1d195a,e30b7ded-ccf9-4c94-8787-fb0c101e9cfa,fb41d008-a0d7-4f75-be2a-1cd4b35378ff,771ed6c0-0200-43a0-9142-59c5ba4da3e8,2025-07-02 12:20:14.335710,0.95
c3cb0283-4bda-4b2d-80e4-5aa7923293ac,e30b7ded-ccf9-4c94-8787-fb0c101e9cfa,fb41d008-a0d7-4f75-be2a-1cd4b35378ff,313ed045-a26c-438e-ae9e-34421fbb12a9,2025-06-07 12:20:14.335950,0.95
30c72eb4-2d1d-47da-b4cc-5f2da471923e,e30b7ded-ccf9-4c94-8787-fb0c101e9cfa,fb41d008-a0d7-4f75-be2a-1cd4b35378ff,eb3e5f1f-0b0b-47fe-b68b-6fbb496ca937,2025-05-14 12:20:14.336149,0.95
1aaa2fab-15c1-4942-b7fe-b4b609307e33,bef56351-ec5d-4d62-9f3b-8703cad11ff4,3bc7fb08-b181-46ec-a7d2-e2b466e9f1c2,a0823e2c-3b75-4932-a83a-132a6aebcabf,2025-05-16 12:20:14.336794,0.85
1dfe09f9-2b78-400d-80fa-22c65b4320e5,bef56351-ec5d-4d62-9f3b-8703cad11ff4,3bc7fb08-b181-46ec-a7d2-e2b466e9f1c2,c4070275-2fc1-4db2-935b-b7c35a4bbd76,2025-06-11 12:20:14.336962,0.75
009babb0-bd60-4842-9fb9-e808d12b1bbe,bef56351-ec5d-4d62-9f3b-8703cad11ff4,3bc7fb08-b181-46ec-a7d2-e2b466e9f1c2,6a387167-7fbf-41aa-a506-1149bc58b726,2025-05-11 12:20:14.337122,0.75
f67f1e8a-8742-424e-b141-bba3daa68530,bef56351-ec5d-4d62-9f3b-8703cad11ff4,3bc7fb08-b181-46ec-a7d2-e2b466e9f1c2,fe1dd394-e739-4da5-b51d-cb3158d37d6f,2025-05-03 12:20:14.337269,0.8
5d53286b-a152-4c82-9b6b-c4c367849fda,bef56351-ec5d-4d62-9f3b-8703cad11ff4,e05ebde2-dbd9-4052-8fd2-05ea47f80002,b47fee5b-c9fc-4a7e-862e-aeb468723ccb,2025-07-16 12:20:14.337764,0.8
03aa3d41-4fc5-4d50-94d2-8ab6d08c111f,bef56351-ec5d-4d62-9f3b-8703cad11ff4,e05ebde2-dbd9-4052-8fd2-05ea47f80002,1c2519db-ae81-4532-bbc7-7aab2c42adbf,2025-07-16 12:20:14.337912,0.85
59863661-22a1-4663-a29b-96b38bc2cbea,bef56351-ec5d-4d62-9f3b-8703cad11ff4,e05ebde2-dbd9-4052-8fd2-05ea47f80002,9a683e65-bcda-4652-bf1f-52cd25e8e78f,2025-05-16 12:20:14.338064,0.75
606e64fa-bc3a-40c8-a468-e09f64d299f3,20bb96aa-3100-4a2b-8735-55e32c59ec43,65286af3-0647-48f5-a6a5-811d855fe077,d8ac5621-d15d-458c-abdf-61d8d3fc7eea,2025-06-29 12:20:14.338543,0.95
9d2a98b0-e55e-4f0d-853e-9e6231678631,20bb96aa-3100-4a2b-8735-55e32c59ec43,65286af3-0647-48f5-a6a5-811d855fe077,93715cee-61e2-4eb8-8978-68de58cfd07e,2025-07-06 12:20:14.338690,0.95
0397b291-513a-4bf6-89cc-af8290e1f552,57d876a3-9eac-455f-ab3b-626f1ae82671,815d0973-0031-4766-9527-48854b88217b,e2547d54-5666-431c-8f42-e90d31b5b780,2025-07-20 12:20:14.339175,0.9
60247e88-8fd2-45a6-a8f5-0221eee0e01c,57d876a3-9eac-455f-ab3b-626f1ae82671,815d0973-0031-4766-9527-48854b88217b,677472ec-fcec-469d-ad7f-07b654dbe586,2025-06-30 12:20:14.339316,0.95
a92433d0-210a-4705-b238-d9fd43dfd2d2,b09ab09f-a124-4fef-a4d7-afeb8b29128e,c81d2050-fc17-4ccf-929f-1300fb7156b8,c324cc7b-438b-4bf2-897b-a90052b0a6dd,2025-06-07 12:20:14.339774,0.75
41436117-8ca0-4050-8512-31f10cab69d1,b09ab09f-a124-4fef-a4d7-afeb8b29128e,c81d2050-fc17-4ccf-929f-1300fb7156b8,0e1b1ca8-39e4-420d-b7bf-05a47de98b19,2025-04-28 12:20:14.339920,0.8
5e4f24ea-9ef3-462f-869f-1f0d3a22f8d9,b09ab09f-a124-4fef-a4d7-afeb8b29128e,c81d2050-fc17-4ccf-929f-1300fb7156b8,3ff16ba3-d545-46da-8aa4-97fbaafe2495,2025-04-27 12:20:14.340062,0.9
e6b3ec74-8fa1-422f-ba6a-371f8eb12f1a,b09ab09f-a124-4fef-a4d7-afeb8b29128e,c81d2050-fc17-4ccf-929f-1300fb7156b8,5d3b2920-4789-4534-a59f-49c0a4cd3223,2025-07-21 12:20:14.340208,0.75
b5a677a8-8c79-431c-a13b-48f9b0e261ec,b09ab09f-a124-4fef-a4d7-afeb8b29128e,a3031bbf-fa4a-4cdb-ac07-2eed7cb33b19,3ff16ba3-d545-46da-8aa4-97fbaafe2495,2025-06-21 12:20:14.340685,0.9
38c485ab-f5de-42cb-8d37-9854bc0cca39,fec6c189-cc66-413b-9b9f-256e8694ab85,609d9720-b1bb-4a86-9006-3d928757b750,34f3a46f-f155-4723-a459-02c4045f707e,2025-07-13 12:20:14.341452,0.95
21f7dc39-6788-44df-aa21-4ae8ac266fce,76d94fe0-f321-440f-8849-6ea507b80c5c,18604354-cb28-41c9-bf5d-e6a1448509bc,a906fae2-3289-47ec-99e0-cd09f64d3ea7,2025-05-04 12:20:14.342031,0.8
f837ad00-5d9c-4afc-af41-fd6dd4a74847,76d94fe0-f321-440f-8849-6ea507b80c5c,18604354-cb28-41c9-bf5d-e6a1448509bc,3408b6d5-eba1-4c47-8db0-e0ec1b1150e6,2025-06-13 12:20:14.342196,0.8
